common_name,scientific_name,Wet Paddy fields,Open Areas,"Groves,Gardens and Plantations",Habitation,Dry Grassland,Hill Grassland,Wet Grassland,High Altitude Grassland,Reeds,Dry Deciduous,Hill Shrubland,Thorny Scrub,Rocky Scrub,Tropical Rainforest,Bamboo Forest,Shola Forest,Moist Deciduous,Subtropical Montane Forest,Mixed Forest,Oak Forest,Coniferous Forest,Forest Swamp,Short Grass Marshes,High Shrubbery,High Alpine,Inland Water,Inland Mudflats,Coastal Mudflats,Beaches,Pelagic Waters,Hot Desert,Semi-Desert,Cold Desert,Mangrove Swamps,Salt Pans,Lagoons,Rivers,High Altitude Lakes,Brackish Backwaters
Smew,Mergellus albellus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Common Merganser,Mergus merganser,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,
Red-breasted Merganser,Mergus serrator,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Common Shelduck,Tadorna tadorna,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,
Ruddy Shelduck,Tadorna ferruginea,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1
Marbled Teal,Marmaronetta angustirostris,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
White-winged Duck,Asarcornis scutulata,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
Red-crested Pochard,Netta rufina,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1
Common Pochard,Aythya ferina,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1
Baer's Pochard,Aythya baeri,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Ferruginous Duck,Aythya nyroca,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
Tufted Duck,Aythya fuligula,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Greater Scaup,Aythya marila,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Pink-headed Duck,Rhodonessa caryophyllacea,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Garganey,Spatula querquedula,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
Northern Shoveler,Spatula clypeata,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
Baikal Teal,Sibirionetta formosa,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Falcated Duck,Mareca falcata,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Gadwall,Mareca strepera,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Eurasian Wigeon,Mareca penelope,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1
Eastern Spot-billed Duck,Anas zonorhyncha,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Indian Spot-billed Duck,Anas poecilorhyncha,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Mallard,Anas platyrhynchos,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Andaman Teal,Anas albogularis,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
Northern Pintail,Anas acuta,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
Green-winged Teal,Anas crecca,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
Knob-billed Duck,Sarkidiornis melanotos,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Mandarin Duck,Aix galericulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton Pygmy-Goose,Nettapus coromandelianus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
Nicobar Scrubfowl,Megapodius nicobariensis,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Hill Partridge,Arborophila torqueola,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Rufous-throated Partridge,Arborophila rufogularis,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,
White-cheeked Partridge,Arborophila atrogularis,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
Chestnut-breasted Partridge,Arborophila mandellii,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Indian Peafowl,Pavo cristatus,,1,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Green Peafowl,Pavo muticus,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Gray Peacock-Pheasant,Polyplectron bicalcaratum,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Common Quail,Coturnix coturnix,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Quail,Coturnix japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rain Quail,Coturnix coromandelica,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-breasted Quail,Synoicus chinensis,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himalayan Snowcock,Tetraogallus himalayensis,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Tibetan Snowcock,Tetraogallus tibetanus,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Chukar,Alectoris chukar,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
Snow Partridge,Lerwa lerwa,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Jungle Bush-Quail,Perdicula asiatica,,1,,,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Bush-Quail,Perdicula argoondah,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Painted Bush-Quail,Perdicula erythrorhyncha,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipur Bush-Quail,Perdicula manipurensis,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himalayan Quail,Ophrysia superciliosa,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Francolin,Francolinus francolinus,1,1,,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Painted Francolin,Francolinus pictus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Francolin,Francolinus pintadeanus,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Gray Francolin,Francolinus pondicerianus,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swamp Francolin,Francolinus gularis,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Bamboo-Partridge,Bambusicola fytchii,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Red Junglefowl,Gallus gallus,,,,,,,,,,,,,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Gray Junglefowl,Gallus sonneratii,,,,,,,,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
Himalayan Monal,Lophophorus impejanus,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,
Sclater's Monal,Lophophorus sclateri,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Western Tragopan,Tragopan melanocephalus,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Satyr Tragopan,Tragopan satyra,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Blyth's Tragopan,Tragopan blythii,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Temminck's Tragopan,Tragopan temminckii,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
Hume's Pheasant,Syrmaticus humiae,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Cheer Pheasant,Catreus wallichii,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalij Pheasant,Lophura leucomelanos,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Tibetan Partridge,Perdix hodgsoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Red Spurfowl,Galloperdix spadicea,,,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
Painted Spurfowl,Galloperdix lunulata,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Koklass Pheasant,Pucrasia macrolopha,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Blood Pheasant,Ithaginis cruentus,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,
Greater Flamingo,Phoenicopterus roseus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Lesser Flamingo,Phoeniconaias minor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Little Grebe,Tachybaptus ruficollis,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,
Red-necked Grebe,Podiceps grisegena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Crested Grebe,Podiceps cristatus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,
Horned Grebe,Podiceps auritus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Eared Grebe,Podiceps nigricollis,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Rock Pigeon,Columba livia,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Hill Pigeon,Columba rupestris,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Snow Pigeon,Columba leuconota,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
Pale-backed Pigeon,Columba eversmanni,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Wood-Pigeon,Columba palumbus,,,,,,,,,,,1,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,
Speckled Wood-Pigeon,Columba hodgsonii,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Ashy Wood-Pigeon,Columba pulchricollis,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
Nilgiri Wood-Pigeon,Columba elphinstonii,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
Pale-capped Pigeon,Columba punicea,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Andaman Wood-Pigeon,Columba palumboides,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
European Turtle-Dove,Streptopelia turtur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriental Turtle-Dove,Streptopelia orientalis,,1,1,,,,,,,,,,,1,,,1,,1,1,1,,,,,,,,,,,,,,,,,,
Eurasian Collared-Dove,Streptopelia decaocto,,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Collared-Dove,Streptopelia tranquebarica,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotted Dove,Streptopelia chinensis,,1,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Laughing Dove,Streptopelia senegalensis,,1,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Barred Cuckoo-Dove,Macropygia unchall,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Andaman Cuckoo-Dove,Macropygia rufipennis,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Orange-breasted Pigeon,Treron bicinctus,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,
Ashy-headed Green-Pigeon,Treron phayrei,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Gray-fronted Green-Pigeon,Treron affinis,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Andaman Green-Pigeon,Treron chloropterus,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Thick-billed Pigeon,Treron curvirostra,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,
Yellow-footed Pigeon,Treron phoenicopterus,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Pin-tailed Pigeon,Treron apicauda,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Wedge-tailed Pigeon,Treron sphenurus,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
Nicobar Pigeon,Caloenas nicobarica,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Emerald Dove,Chalcophaps indica,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Namaqua Dove,Oena capensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Imperial-Pigeon,Ducula aenea,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Nicobar Imperial-Pigeon,Ducula nicobarica,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
Mountain Imperial-Pigeon,Ducula badia,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
Pied Imperial-Pigeon,Ducula bicolor,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Tibetan Sandgrouse,Syrrhaptes tibetanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Pallas's Sandgrouse,Syrrhaptes paradoxus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin-tailed Sandgrouse,Pterocles alchata,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Chestnut-bellied Sandgrouse,Pterocles exustus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Spotted Sandgrouse,Pterocles senegallus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Black-bellied Sandgrouse,Pterocles orientalis,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Painted Sandgrouse,Pterocles indicus,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-billed Tropicbird,Phaethon aethereus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-tailed Tropicbird,Phaethon rubricauda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-tailed Tropicbird,Phaethon lepturus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka Frogmouth,Batrachostomus moniliger,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Hodgson's Frogmouth,Batrachostomus hodgsoni,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Great Eared-Nightjar,Lyncornis macrotis,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Gray Nightjar,Caprimulgus jotaka,,,,,,,,,,,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,
Jungle Nightjar,Caprimulgus indicus,,,,,,,,,,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
Eurasian Nightjar,Caprimulgus europaeus,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
Sykes's Nightjar,Caprimulgus mahrattensis,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
Jerdon's Nightjar,Caprimulgus atripennis,,1,,,1,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Large-tailed Nightjar,Caprimulgus macrurus,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
Andaman Nightjar,Caprimulgus andamanicus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Nightjar,Caprimulgus asiaticus,,1,1,,1,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Savanna Nightjar,Caprimulgus affinis,,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Crested Treeswift,Hemiprocne coronata,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
White-rumped Needletail,Zoonavena sylvatica,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
White-throated Needletail,Hirundapus caudacutus,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,
Silver-backed Needletail,Hirundapus cochinchinensis,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Brown-backed Needletail,Hirundapus giganteus,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Plume-toed Swiftlet,Collocalia affinis,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Himalayan Swiftlet,Aerodramus brevirostris,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,
Indian Swiftlet,Aerodramus unicolor,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
White-nest Swiftlet,Aerodramus fuciphagus,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Asian Palm-Swift,Cypsiurus balasiensis,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Swift,Apus melba,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
Dark-rumped Swift,Apus acuticauda,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Pacific Swift,Apus pacificus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blyth's Swift,Apus leuconyx,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
House Swift,Apus nipalensis,,1,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Little Swift,Apus affinis,,1,,1,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Common Swift,Apus apus,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,
Greater Coucal,Centropus sinensis,,1,1,1,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Andaman Coucal,Centropus andamanensis,,1,1,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,
Lesser Coucal,Centropus bengalensis,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Sirkeer Malkoha,Taccocua leschenaultii,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Blue-faced Malkoha,Phaenicophaeus viridirostris,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-billed Malkoha,Phaenicophaeus tristis,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Pied Cuckoo,Clamator jacobinus,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Chestnut-winged Cuckoo,Clamator coromandus,,,1,,,,,,,1,,,,,1,,1,,,,,1,,,,,,,,,,,,1,,,,,
Asian Koel,Eudynamys scolopaceus,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Emerald Cuckoo,Chrysococcyx maculatus,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Violet Cuckoo,Chrysococcyx xanthorhynchus,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Banded Bay Cuckoo,Cacomantis sonneratii,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Plaintive Cuckoo,Cacomantis merulinus,,,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
Gray-bellied Cuckoo,Cacomantis passerinus,,1,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Square-tailed Drongo-Cuckoo,Surniculus lugubris,,,1,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,
Large Hawk-Cuckoo,Hierococcyx sparverioides,,,,,,,,,,,,,,1,,1,,,1,1,1,,,,,,,,,,,,,,,,,,
Common Hawk-Cuckoo,Hierococcyx varius,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
Indian Cuckoo,Cuculus micropterus,,,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
Common Cuckoo,Cuculus canorus,,,,,,,,,,,1,,,,,,,,1,1,1,,,,1,,,,,,,,1,,,,,,
Himalayan Cuckoo,Cuculus saturatus,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,
Lesser Cuckoo,Cuculus poliocephalus,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
Andaman Crake,Rallina canningi,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Slaty-legged Crake,Rallina eurizonoides,1,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,
Water Rail,Rallus aquaticus,1,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Brown-cheeked Rail,Rallus indicus,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Slaty-breasted Rail,Lewinia striata,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,
Corn Crake,Crex crex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotted Crake,Porzana porzana,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Ruddy-breasted Crake,Zapornia fusca,1,,,,,,1,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Brown Crake,Zapornia akool,1,,,,,,1,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Little Crake,Zapornia parva,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baillon's Crake,Zapornia pusilla,1,,,,,,1,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Black-tailed Crake,Zapornia bicolor,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
White-breasted Waterhen,Amaurornis phoenicurus,1,,1,1,,,1,,1,1,,1,,,,,1,,,,,,1,,,1,,,,,,,,1,,,,,
White-browed Crake,Amaurornis cinerea,,,,,,,1,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Watercock,Gallicrex cinerea,1,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Gray-headed Swamphen,Porphyrio poliocephalus,1,,,,,,1,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Eurasian Moorhen,Gallinula chloropus,1,,,,,,1,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Eurasian Coot,Fulica atra,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Masked Finfoot,Heliopais personatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Siberian Crane,Leucogeranus leucogeranus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarus Crane,Antigone antigone,1,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Demoiselle Crane,Anthropoides virgo,1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,
Common Crane,Grus grus,1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,
Black-necked Crane,Grus nigricollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
