"day","month","year","modern_site_code","historical_site_code","start_time","number","time_seg","HSF","notes","scientific_name","common_name","species_code","order","family"
8,5,2021,"AVLC1","AVLC","7:04",2,1,"H","","Pycnonotus jocosus","Red-whiskered Bulbul","RWBU","Passeriformes","Pycnonotidae (Bulbuls)"
29,12,2020,"AVLC1","AVLC","8:16",2,1,"H","","Hypsipetes ganeesa","Square-tailed Bulbul","STBU","Passeriformes","Pycnonotidae (Bulbuls)"
22,3,2021,"AVLC1","AVLC","6:21",3,1,"H","","Hypsipetes ganeesa","Square-tailed Bulbul","STBU","Passeriformes","Pycnonotidae (Bulbuls)"
22,3,2021,"AVLC1","AVLC","6:21",2,2,"H","","Hypsipetes ganeesa","Square-tailed Bulbul","STBU","Passeriformes","Pycnonotidae (Bulbuls)"
8,5,2021,"AVLC1","AVLC","7:04",6,1,"H","","Hypsipetes ganeesa","Square-tailed Bulbul","STBU","Passeriformes","Pycnonotidae (Bulbuls)"
8,5,2021,"AVLC1","AVLC","7:04",2,3,"H/S","","Hypsipetes ganeesa","Square-tailed Bulbul","STBU","Passeriformes","Pycnonotidae (Bulbuls)"
29,12,2020,"AVLC1","AVLC","8:16",1,1,"H","","Sitta frontalis","Velvet-fronted Nuthatch","VFNU","Passeriformes","Sittidae (Nuthatches)"
29,12,2020,"AVLC1","AVLC","8:16",1,2,"H","","Sitta frontalis","Velvet-fronted Nuthatch","VFNU","Passeriformes","Sittidae (Nuthatches)"
22,3,2021,"AVLC1","AVLC","6:21",2,2,"H/S","","Sitta frontalis","Velvet-fronted Nuthatch","VFNU","Passeriformes","Sittidae (Nuthatches)"
8,5,2021,"AVLC1","AVLC","7:04",2,2,"H","","Sitta frontalis","Velvet-fronted Nuthatch","VFNU","Passeriformes","Sittidae (Nuthatches)"
22,3,2021,"AVLC1","AVLC","6:21",2,2,"H","","Psilopogon viridis","White-cheeked Barbet","WCBA","Piciformes","Megalaimidae (Asian Barbets)"
8,5,2021,"AVLC1","AVLC","7:04",2,1,"H","","Psilopogon viridis","White-cheeked Barbet","WCBA","Piciformes","Megalaimidae (Asian Barbets)"
29,12,2020,"AVLC1","AVLC","8:16",2,1,"H/S","","Iole indica","Yellow-browed Bulbul","YBBU","Passeriformes","Pycnonotidae (Bulbuls)"
29,12,2020,"AVLC2","AVLC","7:44",1,1,"H","","Ficedula nigrorufa","Black-and-orange Flycatcher","BAOF","Passeriformes","Muscicapidae (Old World Flycatchers)"
22,3,2021,"AVLC2","AVLC","7:01",1,1,"H","","Ficedula nigrorufa","Black-and-orange Flycatcher","BAOF","Passeriformes","Muscicapidae (Old World Flycatchers)"
8,5,2021,"AVLC2","AVLC","6:35",1,2,"H","","Ficedula nigrorufa","Black-and-orange Flycatcher","BAOF","Passeriformes","Muscicapidae (Old World Flycatchers)"
29,12,2020,"AVLC2","AVLC","7:44",1,1,"H","","Alcippe poioicephala","Brown-cheeked Fulvetta","BCFU","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)"
22,3,2021,"AVLC2","AVLC","7:01",1,1,"H","","Alcippe poioicephala","Brown-cheeked Fulvetta","BCFU","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)"
8,5,2021,"AVLC2","AVLC","6:35",1,2,"H","","Alcippe poioicephala","Brown-cheeked Fulvetta","BCFU","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)"
29,12,2020,"AVLC2","AVLC","7:44",1,2,"H","","Acrocephalus dumetorum","Blyth's Reed Warbler","BRWA","Passeriformes","Acrocephalidae (Reed Warblers and Allies)"
8,5,2021,"AVLC2","AVLC","6:35",1,1,"H","","Gallus sonneratii","Gray Junglefowl","GRJU","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)"
22,3,2021,"AVLC2","AVLC","7:01",1,3,"H","","Turdus simillimus","Indian Blackbird","INBL","Passeriformes","Turdidae (Thrushes and Allies)"
22,3,2021,"AVLC2","AVLC","7:01",1,2,"H","","Pomatorhinus horsfieldii","Indian Scimitar-Babbler","ISBA","Passeriformes","Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)"
8,5,2021,"AVLC2","AVLC","6:35",2,1,"H","","Pomatorhinus horsfieldii","Indian Scimitar-Babbler","ISBA","Passeriformes","Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)"
29,12,2020,"AVLC2","AVLC","7:44",1,2,"H","","Eumyias albicaudatus","Nilgiri Flycatcher","NIFL","Passeriformes","Muscicapidae (Old World Flycatchers)"
22,3,2021,"AVLC2","AVLC","7:01",1,3,"H","","Eumyias albicaudatus","Nilgiri Flycatcher","NIFL","Passeriformes","Muscicapidae (Old World Flycatchers)"
8,5,2021,"AVLC2","AVLC","6:35",1,3,"H","","Eumyias albicaudatus","Nilgiri Flycatcher","NIFL","Passeriformes","Muscicapidae (Old World Flycatchers)"
29,12,2020,"AVLC2","AVLC","7:44",1,3,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
22,3,2021,"AVLC2","AVLC","7:01",1,3,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
8,5,2021,"AVLC2","AVLC","6:35",2,1,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
8,5,2021,"AVLC2","AVLC","6:35",1,3,"H","","Montecincla cachinnans","Nilgiri Laughingthrush","NILA","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)"
22,3,2021,"AVLC2","AVLC","7:01",2,1,"H","","Sholicola major","Nilgiri Sholakili","NISH","Passeriformes","Muscicapidae (Old World Flycatchers)"
8,5,2021,"AVLC2","AVLC","6:35",1,1,"H","","Sholicola major","Nilgiri Sholakili","NISH","Passeriformes","Muscicapidae (Old World Flycatchers)"
8,5,2021,"AVLC2","AVLC","6:35",1,1,"H/S","","Sholicola major","Nilgiri Sholakili","NISH","Passeriformes","Muscicapidae (Old World Flycatchers)"
22,3,2021,"AVLC2","AVLC","7:01",1,1,"H","","Zosterops palpebrosus","Indian White Eye","IWEY","Passeriformes","Zosteropidae"
8,5,2021,"AVLC2","AVLC","6:35",1,2,"H","","Zosterops palpebrosus","Indian White Eye","IWEY","Passeriformes","Zosteropidae"
29,12,2020,"AVLC2","AVLC","7:44",1,2,"H","","Pycnonotus jocosus","Red-whiskered Bulbul","RWBU","Passeriformes","Pycnonotidae (Bulbuls)"
29,12,2020,"AVLC2","AVLC","7:44",2,2,"H/S","","Hypsipetes ganeesa","Square-tailed Bulbul","STBU","Passeriformes","Pycnonotidae (Bulbuls)"
22,3,2021,"AVLC2","AVLC","7:01",3,1,"H","","Hypsipetes ganeesa","Square-tailed Bulbul","STBU","Passeriformes","Pycnonotidae (Bulbuls)"
8,5,2021,"AVLC2","AVLC","6:35",6,1,"H","","Hypsipetes ganeesa","Square-tailed Bulbul","STBU","Passeriformes","Pycnonotidae (Bulbuls)"
8,5,2021,"AVLC2","AVLC","6:35",2,1,"H/S","","Hypsipetes ganeesa","Square-tailed Bulbul","STBU","Passeriformes","Pycnonotidae (Bulbuls)"
8,5,2021,"AVLC2","AVLC","6:35",3,2,"H/S","","Hypsipetes ganeesa","Square-tailed Bulbul","STBU","Passeriformes","Pycnonotidae (Bulbuls)"
29,12,2020,"AVLC2","AVLC","7:44",2,1,"H","","Sitta frontalis","Velvet-fronted Nuthatch","VFNU","Passeriformes","Sittidae (Nuthatches)"
29,12,2020,"AVLC2","AVLC","7:44",2,2,"H","","Sitta frontalis","Velvet-fronted Nuthatch","VFNU","Passeriformes","Sittidae (Nuthatches)"
22,3,2021,"AVLC2","AVLC","7:01",1,1,"H","","Sitta frontalis","Velvet-fronted Nuthatch","VFNU","Passeriformes","Sittidae (Nuthatches)"
22,3,2021,"AVLC2","AVLC","7:01",1,3,"H","","Sitta frontalis","Velvet-fronted Nuthatch","VFNU","Passeriformes","Sittidae (Nuthatches)"
8,5,2021,"AVLC2","AVLC","6:35",1,2,"H","","Sitta frontalis","Velvet-fronted Nuthatch","VFNU","Passeriformes","Sittidae (Nuthatches)"
8,5,2021,"AVLC2","AVLC","6:35",1,3,"H","","Sitta frontalis","Velvet-fronted Nuthatch","VFNU","Passeriformes","Sittidae (Nuthatches)"
22,3,2021,"AVLC2","AVLC","7:01",1,1,"H","","Psilopogon viridis","White-cheeked Barbet","WCBA","Piciformes","Megalaimidae (Asian Barbets)"
8,5,2021,"AVLC2","AVLC","6:35",2,1,"H","","Psilopogon viridis","White-cheeked Barbet","WCBA","Piciformes","Megalaimidae (Asian Barbets)"
24,12,2020,"BGOT1","BGOT","9:05",3,1,"H","","Ficedula nigrorufa","Black-and-orange Flycatcher","BAOF","Passeriformes","Muscicapidae (Old World Flycatchers)"
27,2,2021,"BGOT1","BGOT","7:49",1,1,"H","","Ficedula nigrorufa","Black-and-orange Flycatcher","BAOF","Passeriformes","Muscicapidae (Old World Flycatchers)"
27,2,2021,"BGOT1","BGOT","7:49",2,1,"H","","Acrocephalus dumetorum","Blyth's Reed Warbler","BRWA","Passeriformes","Acrocephalidae (Reed Warblers and Allies)"
27,2,2021,"BGOT1","BGOT","7:49",2,1,"H","","Turdus simillimus","Indian Blackbird","INBL","Passeriformes","Turdidae (Thrushes and Allies)"
27,2,2021,"BGOT1","BGOT","7:49",1,2,"H","","Larvivora brunnea","Indian Blue Robin","IBRO","Passeriformes","Muscicapidae (Old World Flycatchers)"
27,2,2021,"BGOT1","BGOT","7:49",1,3,"H","","Acridotheres fuscus","Jungle Myna","JUMY","Passeriformes","Sturnidae (Starlings)"
27,2,2021,"BGOT1","BGOT","7:49",2,1,"H","","Eumyias albicaudatus","Nilgiri Flycatcher","NIFL","Passeriformes","Muscicapidae (Old World Flycatchers)"
24,12,2020,"BGOT1","BGOT","9:05",2,1,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
24,12,2020,"BGOT1","BGOT","9:05",1,3,"S","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
24,12,2020,"BGOT1","BGOT","9:05",2,3,"S","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
27,2,2021,"BGOT1","BGOT","7:49",1,1,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
27,2,2021,"BGOT1","BGOT","7:49",1,2,"S","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
27,2,2021,"BGOT1","BGOT","7:49",1,3,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
27,2,2021,"BGOT1","BGOT","7:49",1,1,"S","","Sholicola major","Nilgiri Sholakili","NISH","Passeriformes","Muscicapidae (Old World Flycatchers)"
27,2,2021,"BGOT1","BGOT","7:49",1,1,"H","","Sholicola major","Nilgiri Sholakili","NISH","Passeriformes","Muscicapidae (Old World Flycatchers)"
24,12,2020,"BGOT1","BGOT","9:05",2,1,"H","","Zosterops palpebrosus","Indian White Eye","IWEY","Passeriformes","Zosteropidae"
27,2,2021,"BGOT1","BGOT","7:49",2,1,"H","","Zosterops palpebrosus","Indian White Eye","IWEY","Passeriformes","Zosteropidae"
27,2,2021,"BGOT1","BGOT","7:49",1,2,"S","","Zosterops palpebrosus","Indian White Eye","IWEY","Passeriformes","Zosteropidae"
24,12,2020,"BGOT1","BGOT","9:05",3,1,"H","","Pycnonotus jocosus","Red-whiskered Bulbul","RWBU","Passeriformes","Pycnonotidae (Bulbuls)"
27,2,2021,"BGOT1","BGOT","7:49",4,1,"H","","Pycnonotus jocosus","Red-whiskered Bulbul","RWBU","Passeriformes","Pycnonotidae (Bulbuls)"
27,2,2021,"BGOT1","BGOT","7:49",1,1,"S","","Pycnonotus jocosus","Red-whiskered Bulbul","RWBU","Passeriformes","Pycnonotidae (Bulbuls)"
27,2,2021,"BGOT1","BGOT","7:49",1,3,"H","","Phylloscopus affinis","Tickell's Leaf Warbler","TLWA","Passeriformes","Phylloscopidae (Leaf Warblers)"
24,12,2020,"BGOT1","BGOT","9:05",1,2,"H","","Sitta frontalis","Velvet-fronted Nuthatch","VFNU","Passeriformes","Sittidae (Nuthatches)"
24,12,2020,"BGOT1","BGOT","9:05",1,2,"H","","Psilopogon viridis","White-cheeked Barbet","WCBA","Piciformes","Megalaimidae (Asian Barbets)"
24,12,2020,"BGOT1","BGOT","9:05",1,3,"H","","Psilopogon viridis","White-cheeked Barbet","WCBA","Piciformes","Megalaimidae (Asian Barbets)"
27,2,2021,"BGOT1","BGOT","7:49",2,1,"H","","Psilopogon viridis","White-cheeked Barbet","WCBA","Piciformes","Megalaimidae (Asian Barbets)"
26,12,2020,"BVLR1","BVLR","7:07",1,1,"H","","Alcippe poioicephala","Brown-cheeked Fulvetta","BCFU","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)"
9,3,2021,"BVLR1","BVLR","6:26",2,1,"H","","Alcippe poioicephala","Brown-cheeked Fulvetta","BCFU","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)"
4,5,2021,"BVLR1","BVLR","7:38",1,2,"H","","Alcippe poioicephala","Brown-cheeked Fulvetta","BCFU","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)"
4,5,2021,"BVLR1","BVLR","7:38",1,2,"H","","Alcippe poioicephala","Brown-cheeked Fulvetta","BCFU","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)"
9,3,2021,"BVLR1","BVLR","6:26",1,1,"H","","Acrocephalus dumetorum","Blyth's Reed Warbler","BRWA","Passeriformes","Acrocephalidae (Reed Warblers and Allies)"
9,3,2021,"BVLR1","BVLR","6:26",2,1,"H","","Gallus sonneratii","Gray Junglefowl","GRJU","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)"
4,5,2021,"BVLR1","BVLR","7:38",1,2,"H","","Gallus sonneratii","Gray Junglefowl","GRJU","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)"
9,3,2021,"BVLR1","BVLR","6:26",2,2,"H","","Turdus simillimus","Indian Blackbird","INBL","Passeriformes","Turdidae (Thrushes and Allies)"
9,3,2021,"BVLR1","BVLR","6:26",1,3,"S","","Turdus simillimus","Indian Blackbird","INBL","Passeriformes","Turdidae (Thrushes and Allies)"
9,3,2021,"BVLR1","BVLR","6:26",1,1,"H","","Larvivora brunnea","Indian Blue Robin","IBRO","Passeriformes","Muscicapidae (Old World Flycatchers)"
9,3,2021,"BVLR1","BVLR","6:26",2,2,"H","","Myophonus horsfieldii","Malabar Whistling-Thrush","MWTH","Passeriformes","Muscicapidae (Old World Flycatchers)"
4,5,2021,"BVLR1","BVLR","7:38",2,1,"H","","Myophonus horsfieldii","Malabar Whistling-Thrush","MWTH","Passeriformes","Muscicapidae (Old World Flycatchers)"
9,3,2021,"BVLR1","BVLR","6:26",1,1,"H","","Eumyias albicaudatus","Nilgiri Flycatcher","NIFL","Passeriformes","Muscicapidae (Old World Flycatchers)"
4,5,2021,"BVLR1","BVLR","7:38",1,3,"H","","Eumyias albicaudatus","Nilgiri Flycatcher","NIFL","Passeriformes","Muscicapidae (Old World Flycatchers)"
26,12,2020,"BVLR1","BVLR","7:07",1,1,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
4,5,2021,"BVLR1","BVLR","7:38",1,1,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
9,3,2021,"BVLR1","BVLR","6:26",1,2,"H","","Sholicola major","Nilgiri Sholakili","NISH","Passeriformes","Muscicapidae (Old World Flycatchers)"
4,5,2021,"BVLR1","BVLR","7:38",1,1,"H","","Sholicola major","Nilgiri Sholakili","NISH","Passeriformes","Muscicapidae (Old World Flycatchers)"
26,12,2020,"BVLR1","BVLR","7:07",2,1,"H","","Zosterops palpebrosus","Indian White Eye","IWEY","Passeriformes","Zosteropidae"
9,3,2021,"BVLR1","BVLR","6:26",3,1,"H","","Zosterops palpebrosus","Indian White Eye","IWEY","Passeriformes","Zosteropidae"
26,12,2020,"BVLR1","BVLR","7:07",1,3,"H","","Perdicula erythrorhyncha","Painted Bush Quail","PBQU","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)"
4,5,2021,"BVLR1","BVLR","7:38",1,3,"H","","Perdicula erythrorhyncha","Painted Bush Quail","PBQU","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)"
4,5,2021,"BVLR1","BVLR","7:38",1,1,"H","","Pellorneum ruficeps","Puff-throated Babbler","PTBA","Passeriformes","Pellorneidae (Ground Babblers and Allies)"
9,3,2021,"BVLR1","BVLR","6:26",1,3,"H","","Galloperdix spadicea","Red Spurfowl","RESP","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)"
26,12,2020,"BVLR1","BVLR","7:07",5,3,"H","","Pycnonotus jocosus","Red-whiskered Bulbul","RWBU","Passeriformes","Pycnonotidae (Bulbuls)"
4,5,2021,"BVLR1","BVLR","7:38",3,1,"H","","Hypsipetes ganeesa","Square-tailed Bulbul","STBU","Passeriformes","Pycnonotidae (Bulbuls)"
4,5,2021,"BVLR1","BVLR","7:38",3,3,"S","","Hypsipetes ganeesa","Square-tailed Bulbul","STBU","Passeriformes","Pycnonotidae (Bulbuls)"
26,12,2020,"BVLR1","BVLR","7:07",2,1,"H","","Sitta frontalis","Velvet-fronted Nuthatch","VFNU","Passeriformes","Sittidae (Nuthatches)"
9,3,2021,"BVLR1","BVLR","6:26",2,1,"H","","Sitta frontalis","Velvet-fronted Nuthatch","VFNU","Passeriformes","Sittidae (Nuthatches)"
4,5,2021,"BVLR1","BVLR","7:38",1,1,"H","","Sitta frontalis","Velvet-fronted Nuthatch","VFNU","Passeriformes","Sittidae (Nuthatches)"
9,3,2021,"BVLR1","BVLR","6:26",1,1,"H","","Psilopogon viridis","White-cheeked Barbet","WCBA","Piciformes","Megalaimidae (Asian Barbets)"
4,5,2021,"BVLR1","BVLR","7:38",1,1,"H","","Psilopogon viridis","White-cheeked Barbet","WCBA","Piciformes","Megalaimidae (Asian Barbets)"
26,12,2020,"BVLR1","BVLR","7:07",3,1,"H","","Iole indica","Yellow-browed Bulbul","YBBU","Passeriformes","Pycnonotidae (Bulbuls)"
9,3,2021,"BVLR1","BVLR","6:26",1,1,"H","","Iole indica","Yellow-browed Bulbul","YBBU","Passeriformes","Pycnonotidae (Bulbuls)"
4,5,2021,"BVLR1","BVLR","7:38",4,2,"H","","Iole indica","Yellow-browed Bulbul","YBBU","Passeriformes","Pycnonotidae (Bulbuls)"
11,2,2021,"BVLR2","BVLR","7:05",1,2,"H","","Irena puella","Asian Fairy-bluebird","AFBL","Passeriformes","Irenidae (Fairy-bluebirds)"
11,3,2021,"BVLR2","BVLR","8:14",1,1,"H","","Irena puella","Asian Fairy-bluebird","AFBL","Passeriformes","Irenidae (Fairy-bluebirds)"
11,2,2021,"BVLR2","BVLR","7:05",3,1,"H","","Acrocephalus dumetorum","Blyth's Reed Warbler","BRWA","Passeriformes","Acrocephalidae (Reed Warblers and Allies)"
11,3,2021,"BVLR2","BVLR","8:14",1,1,"H","","Acrocephalus dumetorum","Blyth's Reed Warbler","BRWA","Passeriformes","Acrocephalidae (Reed Warblers and Allies)"
11,3,2021,"BVLR2","BVLR","8:14",1,1,"H","","Hemipus picatus","Bar-winged Flycatcher-shrike","BWFS","Passeriformes","Vangidae (Vangas, Helmetshrikes, and Allies)"
11,3,2021,"BVLR2","BVLR","8:14",2,2,"S","","Chloropsis aurifrons","Golden-fronted Leafbird","GFLE","Passeriformes","Chloropseidae (Leafbirds)"
11,2,2021,"BVLR2","BVLR","7:05",2,1,"H","","Gallus sonneratii","Gray Junglefowl","GRJU","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)"
11,2,2021,"BVLR2","BVLR","7:05",1,3,"H","","Gallus sonneratii","Gray Junglefowl","GRJU","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)"
11,3,2021,"BVLR2","BVLR","8:14",2,1,"H","","Psittacula columboides","Malabar Parakeet","MAPA","Psittaciformes","Psittaculidae (Old World Parrots)"
11,3,2021,"BVLR2","BVLR","8:14",1,2,"H","","Psittacula columboides","Malabar Parakeet","MAPA","Psittaciformes","Psittaculidae (Old World Parrots)"
11,2,2021,"BVLR2","BVLR","7:05",1,1,"H","","Myophonus horsfieldii","Malabar Whistling-Thrush","MWTH","Passeriformes","Muscicapidae (Old World Flycatchers)"
11,3,2021,"BVLR2","BVLR","8:14",1,1,"H","","Myophonus horsfieldii","Malabar Whistling-Thrush","MWTH","Passeriformes","Muscicapidae (Old World Flycatchers)"
11,3,2021,"BVLR2","BVLR","8:14",1,3,"H","","Myophonus horsfieldii","Malabar Whistling-Thrush","MWTH","Passeriformes","Muscicapidae (Old World Flycatchers)"
11,2,2021,"BVLR2","BVLR","7:05",1,1,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
11,2,2021,"BVLR2","BVLR","7:05",1,2,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
11,2,2021,"BVLR2","BVLR","7:05",1,3,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
11,3,2021,"BVLR2","BVLR","8:14",4,1,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
11,3,2021,"BVLR2","BVLR","8:14",1,3,"S","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
11,2,2021,"BVLR2","BVLR","7:05",1,1,"S","","Pericrocotus flammeus","Orange Minivet","OM ","ORMI","Passeriformes"
